X,Y,Predicted,Number of 1's,A2,Z2,A1,Z1
"[0, 1, 1, 1, 0, 0, 1, 0, 1, 1]",0,0,6,0.02,-3.93,"[0.97, 0.98, 1.0, 0.97]","[3.35, 3.74, 8.46, 3.37]"
"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]",0,0,5,0.2,-1.36,"[1.0, 0.24, 1.0, 1.0]","[7.13, -1.13, 8.66, 7.36]"
"[0, 1, 1, 1, 0, 0, 1, 1, 0, 1]",0,0,6,0.02,-3.9,"[1.0, 0.94, 1.0, 1.0]","[6.85, 2.68, 7.76, 7.23]"
"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]",1,0,6,0.2,-1.37,"[1.0, 0.25, 1.0, 1.0]","[7.18, -1.11, 8.83, 7.3]"
"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1]",0,0,7,0.02,-3.9,"[1.0, 0.94, 1.0, 1.0]","[6.9, 2.7, 7.93, 7.17]"
"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.33, 4.74, 8.85, 7.23]"
"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.05, 8.55, 7.95, 7.11]"
"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",0,0,5,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.37, 4.76, 9.02, 7.17]"
"[0, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.09, 8.57, 8.12, 7.05]"
"[0, 1, 1, 1, 0, 1, 0, 1, 0, 0]",0,0,5,0.02,-4.05,"[1.0, 0.98, 1.0, 1.0]","[10.87, 3.7, 8.32, 11.03]"
"[0, 1, 1, 1, 0, 1, 0, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.59, 7.51, 7.42, 10.9]"
"[0, 1, 1, 1, 0, 1, 0, 1, 1, 0]",0,0,6,0.02,-4.05,"[1.0, 0.98, 1.0, 1.0]","[10.92, 3.72, 8.49, 10.97]"
"[0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.63, 7.53, 7.59, 10.84]"
"[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",0,0,5,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.91, 4.35, 12.7, 6.84]"
"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.62, 8.15, 11.8, 6.71]"
"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",0,0,6,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.95, 4.37, 12.87, 6.78]"
"[0, 1, 1, 1, 0, 1, 1, 0, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.67, 8.17, 11.97, 6.66]"
"[0, 1, 1, 1, 0, 1, 1, 1, 0, 0]",0,0,6,0.02,-4.01,"[1.0, 0.96, 1.0, 1.0]","[10.45, 3.3, 12.16, 10.64]"
"[0, 1, 1, 1, 0, 1, 1, 1, 0, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.17, 7.11, 11.27, 10.51]"
"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0]",0,0,7,0.02,-4.01,"[1.0, 0.97, 1.0, 1.0]","[10.49, 3.32, 12.33, 10.58]"
"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0,0,8,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.21, 7.13, 11.44, 10.45]"
"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.27, 4.79, 8.83, 7.18]"
"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.99, 8.6, 7.93, 7.05]"
"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0]",0,0,5,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.31, 4.81, 9.0, 7.12]"
"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.03, 8.62, 8.1, 6.99]"
"[0, 1, 1, 1, 1, 0, 0, 1, 0, 0]",0,0,5,0.02,-4.05,"[1.0, 0.98, 1.0, 1.0]","[10.81, 3.75, 8.29, 10.97]"
"[0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.53, 7.56, 7.4, 10.84]"
"[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]",0,0,6,0.02,-4.05,"[1.0, 0.98, 1.0, 1.0]","[10.86, 3.77, 8.47, 10.91]"
"[0, 1, 1, 1, 1, 0, 0, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.58, 7.58, 7.57, 10.78]"
"[0, 1, 1, 1, 1, 0, 1, 0, 0, 0]",0,0,5,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.85, 4.4, 12.67, 6.78]"
"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.57, 8.2, 11.78, 6.66]"
"[0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",0,0,6,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.89, 4.41, 12.85, 6.73]"
"[0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.61, 8.22, 11.95, 6.6]"
"[0, 1, 1, 1, 1, 0, 1, 1, 0, 0]",0,0,6,0.02,-4.01,"[1.0, 0.97, 1.0, 1.0]","[10.39, 3.35, 12.14, 10.58]"
"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.11, 7.16, 11.24, 10.45]"
"[0, 1, 1, 1, 1, 0, 1, 1, 1, 0]",0,0,7,0.02,-4.01,"[1.0, 0.97, 1.0, 1.0]","[10.44, 3.37, 12.31, 10.52]"
"[0, 1, 1, 1, 1, 0, 1, 1, 1, 1]",0,0,8,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.15, 7.18, 11.42, 10.39]"
"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.59, 9.22, 12.33, 10.46]"
"[0, 1, 1, 1, 1, 1, 0, 0, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.3, 13.03, 11.44, 10.33]"
"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.63, 9.24, 12.51, 10.4]"
"[0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.35, 13.05, 11.61, 10.27]"
"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.13, 8.18, 11.8, 14.26]"
"[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.85, 11.99, 10.91, 14.13]"
"[0, 1, 1, 1, 1, 1, 0, 1, 1, 0]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.17, 8.2, 11.97, 14.2]"
"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",0,0,8,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.89, 12.01, 11.08, 14.07]"
"[0, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.16, 8.82, 16.18, 10.07]"
"[0, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.88, 12.63, 15.29, 9.94]"
"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.21, 8.84, 16.35, 10.01]"
"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0,0,8,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.93, 12.65, 15.46, 9.88]"
"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[13.71, 7.78, 15.65, 13.87]"
"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0,0,8,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.43, 11.59, 14.75, 13.74]"
"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1,0,8,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[13.75, 7.8, 15.82, 13.81]"
"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,9,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.47, 11.61, 14.92, 13.68]"
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0.2,-1.41,"[0.6, 1.0, 0.66, 0.57]","[0.39, 5.77, 0.66, 0.27]"
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,0,2,0.39,-0.46,"[0.53, 1.0, 0.44, 0.54]","[0.11, 9.58, -0.24, 0.14]"
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,2,0.18,-1.53,"[0.61, 1.0, 0.7, 0.55]","[0.44, 5.79, 0.83, 0.21]"
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,3,0.35,-0.6,"[0.54, 1.0, 0.48, 0.52]","[0.16, 9.6, -0.06, 0.09]"
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,2,0.09,-2.35,"[0.98, 0.99, 0.53, 0.98]","[3.94, 4.73, 0.13, 4.07]"
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,3,0.17,-1.6,"[0.97, 1.0, 0.32, 0.98]","[3.65, 8.54, -0.77, 3.94]"
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0,0,3,0.08,-2.51,"[0.98, 0.99, 0.57, 0.98]","[3.98, 4.75, 0.3, 4.01]"
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,0,4,0.15,-1.73,"[0.98, 1.0, 0.35, 0.98]","[3.7, 8.55, -0.6, 3.88]"
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,2,0.1,-2.23,"[0.49, 1.0, 0.99, 0.47]","[-0.03, 5.37, 4.51, -0.12]"
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0,0,3,0.12,-2.02,"[0.42, 1.0, 0.97, 0.44]","[-0.31, 9.18, 3.61, -0.25]"
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0,0,3,0.1,-2.23,"[0.5, 1.0, 0.99, 0.46]","[0.02, 5.39, 4.68, -0.18]"
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,0,4,0.12,-2.02,"[0.43, 1.0, 0.98, 0.42]","[-0.27, 9.2, 3.78, -0.31]"
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,3,0.02,-3.93,"[0.97, 0.99, 0.98, 0.98]","[3.51, 4.33, 3.97, 3.68]"
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,0,4,0.02,-3.86,"[0.96, 1.0, 0.96, 0.97]","[3.23, 8.14, 3.08, 3.55]"
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,0,4,0.02,-3.94,"[0.97, 0.99, 0.98, 0.97]","[3.56, 4.35, 4.15, 3.62]"
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,0,5,0.02,-3.88,"[0.96, 1.0, 0.96, 0.97]","[3.28, 8.16, 3.25, 3.49]"
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,2,0.02,-3.99,"[0.98, 1.0, 0.98, 0.97]","[3.71, 10.2, 4.17, 3.56]"
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,0,3,0.02,-3.89,"[0.97, 1.0, 0.96, 0.97]","[3.43, 14.01, 3.27, 3.43]"
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0,0,3,0.02,-4.0,"[0.98, 1.0, 0.99, 0.97]","[3.75, 10.22, 4.34, 3.5]"
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,0,4,0.02,-3.91,"[0.97, 1.0, 0.97, 0.97]","[3.47, 14.03, 3.44, 3.37]"
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,3,0.02,-4.04,"[1.0, 1.0, 0.97, 1.0]","[7.25, 9.16, 3.63, 7.36]"
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,4,0.02,-3.91,"[1.0, 1.0, 0.94, 1.0]","[6.97, 12.96, 2.74, 7.23]"
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0,0,4,0.02,-4.06,"[1.0, 1.0, 0.98, 1.0]","[7.3, 9.18, 3.81, 7.3]"
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",0,0,5,0.02,-3.95,"[1.0, 1.0, 0.95, 1.0]","[7.02, 12.98, 2.91, 7.17]"
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,3,0.02,-4.0,"[0.96, 1.0, 1.0, 0.96]","[3.29, 9.8, 8.02, 3.17]"
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",0,0,4,0.02,-3.97,"[0.95, 1.0, 1.0, 0.95]","[3.01, 13.61, 7.12, 3.04]"
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",0,0,4,0.02,-4.0,"[0.97, 1.0, 1.0, 0.96]","[3.33, 9.82, 8.19, 3.11]"
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",0,0,5,0.02,-3.97,"[0.95, 1.0, 1.0, 0.95]","[3.05, 13.63, 7.29, 2.98]"
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.83, 8.76, 7.48, 6.97]"
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.55, 12.57, 6.59, 6.84]"
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.88, 8.78, 7.65, 6.91]"
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.59, 12.59, 6.76, 6.78]"
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,2,0.02,-3.98,"[0.97, 1.0, 0.98, 0.97]","[3.65, 10.25, 4.15, 3.5]"
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,0,3,0.02,-3.88,"[0.97, 1.0, 0.96, 0.97]","[3.37, 14.06, 3.25, 3.37]"
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0,0,3,0.02,-3.99,"[0.98, 1.0, 0.99, 0.97]","[3.7, 10.27, 4.32, 3.44]"
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,0,4,0.02,-3.9,"[0.97, 1.0, 0.97, 0.96]","[3.41, 14.08, 3.42, 3.31]"
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,3,0.02,-4.04,"[1.0, 1.0, 0.97, 1.0]","[7.2, 9.21, 3.61, 7.3]"
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,0,4,0.02,-3.91,"[1.0, 1.0, 0.94, 1.0]","[6.91, 13.01, 2.72, 7.17]"
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0,0,4,0.02,-4.05,"[1.0, 1.0, 0.98, 1.0]","[7.24, 9.23, 3.78, 7.24]"
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",0,0,5,0.02,-3.94,"[1.0, 1.0, 0.95, 1.0]","[6.96, 13.03, 2.89, 7.11]"
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,0,3,0.02,-3.99,"[0.96, 1.0, 1.0, 0.96]","[3.23, 9.85, 7.99, 3.11]"
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0,0,4,0.02,-3.96,"[0.95, 1.0, 1.0, 0.95]","[2.95, 13.66, 7.1, 2.98]"
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0,0,4,0.02,-3.99,"[0.96, 1.0, 1.0, 0.95]","[3.27, 9.87, 8.16, 3.05]"
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",0,0,5,0.02,-3.96,"[0.95, 1.0, 1.0, 0.95]","[2.99, 13.68, 7.27, 2.92]"
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.77, 8.81, 7.46, 6.91]"
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.49, 12.62, 6.56, 6.78]"
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.82, 8.83, 7.63, 6.85]"
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.54, 12.63, 6.74, 6.72]"
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,0,3,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.97, 14.68, 7.65, 6.79]"
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",1,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.69, 18.49, 6.76, 6.66]"
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.01, 14.7, 7.82, 6.73]"
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.73, 18.51, 6.93, 6.6]"
"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.51, 13.64, 7.12, 10.58]"
"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.23, 17.44, 6.22, 10.45]"
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.56, 13.65, 7.29, 10.52]"
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.27, 17.46, 6.4, 10.39]"
"[1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.55, 14.28, 11.5, 6.39]"
"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.26, 18.09, 10.6, 6.27]"
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.59, 14.3, 11.67, 6.34]"
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.31, 18.11, 10.78, 6.21]"
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.09, 13.24, 10.97, 10.19]"
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.81, 17.04, 10.07, 10.06]"
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.13, 13.26, 11.14, 10.13]"
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.85, 17.06, 10.24, 10.0]"
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,2,0.1,-2.14,"[0.47, 0.99, 0.99, 0.44]","[-0.11, 5.27, 4.61, -0.23]"
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0,0,3,0.13,-1.94,"[0.4, 1.0, 0.98, 0.41]","[-0.39, 9.08, 3.72, -0.36]"
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,0,3,0.11,-2.14,"[0.48, 1.0, 0.99, 0.43]","[-0.06, 5.29, 4.78, -0.29]"
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",0,0,4,0.13,-1.94,"[0.41, 1.0, 0.98, 0.4]","[-0.35, 9.1, 3.89, -0.42]"
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,0,3,0.02,-3.92,"[0.97, 0.99, 0.98, 0.97]","[3.44, 4.23, 4.08, 3.56]"
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0,0,4,0.02,-3.86,"[0.96, 1.0, 0.96, 0.97]","[3.15, 8.04, 3.18, 3.43]"
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",0,0,4,0.02,-3.93,"[0.97, 0.99, 0.99, 0.97]","[3.48, 4.25, 4.25, 3.5]"
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0,0,5,0.02,-3.89,"[0.96, 1.0, 0.97, 0.97]","[3.2, 8.06, 3.35, 3.38]"
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0,0,3,0.14,-1.82,"[0.37, 0.99, 1.0, 0.35]","[-0.53, 4.88, 8.46, -0.62]"
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1,0,4,0.16,-1.69,"[0.31, 1.0, 1.0, 0.32]","[-0.81, 8.68, 7.56, -0.75]"
"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0,0,4,0.14,-1.81,"[0.38, 0.99, 1.0, 0.34]","[-0.49, 4.9, 8.63, -0.68]"
"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",0,0,5,0.16,-1.68,"[0.32, 1.0, 1.0, 0.31]","[-0.77, 8.7, 7.73, -0.81]"
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0,0,4,0.02,-3.9,"[0.95, 0.98, 1.0, 0.96]","[3.01, 3.83, 7.93, 3.17]"
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0,0,5,0.02,-3.94,"[0.94, 1.0, 1.0, 0.95]","[2.73, 7.64, 7.03, 3.04]"
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",0,0,5,0.02,-3.9,"[0.96, 0.98, 1.0, 0.96]","[3.06, 3.85, 8.1, 3.11]"
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0,0,6,0.02,-3.94,"[0.94, 1.0, 1.0, 0.95]","[2.78, 7.66, 7.2, 2.99]"
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,3,0.02,-3.98,"[0.96, 1.0, 1.0, 0.95]","[3.21, 9.7, 8.12, 3.05]"
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0,0,4,0.02,-3.95,"[0.95, 1.0, 1.0, 0.95]","[2.93, 13.51, 7.22, 2.92]"
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0,0,4,0.02,-3.98,"[0.96, 1.0, 1.0, 0.95]","[3.25, 9.72, 8.29, 2.99]"
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0,0,5,0.02,-3.95,"[0.95, 1.0, 1.0, 0.95]","[2.97, 13.53, 7.39, 2.86]"
"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.75, 8.66, 7.59, 6.85]"
"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.47, 12.47, 6.69, 6.72]"
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.8, 8.68, 7.76, 6.79]"
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.51, 12.49, 6.86, 6.66]"
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",0,0,4,0.02,-3.91,"[0.94, 1.0, 1.0, 0.93]","[2.79, 9.31, 11.97, 2.66]"
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",0,0,5,0.02,-3.87,"[0.92, 1.0, 1.0, 0.93]","[2.5, 13.11, 11.07, 2.53]"
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",0,0,5,0.02,-3.91,"[0.94, 1.0, 1.0, 0.93]","[2.83, 9.32, 12.14, 2.6]"
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0,0,6,0.02,-3.87,"[0.93, 1.0, 1.0, 0.92]","[2.55, 13.13, 11.24, 2.47]"
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.33, 8.26, 11.43, 6.46]"
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.05, 12.07, 10.54, 6.33]"
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.37, 8.28, 11.6, 6.4]"
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.09, 12.09, 10.71, 6.27]"
"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0,0,3,0.02,-3.98,"[0.96, 1.0, 1.0, 0.95]","[3.15, 9.75, 8.1, 2.99]"
"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",0,0,4,0.02,-3.94,"[0.95, 1.0, 1.0, 0.95]","[2.87, 13.56, 7.2, 2.86]"
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",0,0,4,0.02,-3.97,"[0.96, 1.0, 1.0, 0.95]","[3.19, 9.77, 8.27, 2.93]"
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",0,0,5,0.02,-3.94,"[0.95, 1.0, 1.0, 0.94]","[2.91, 13.58, 7.37, 2.81]"
